統編,公司名稱,公司地址,ADDR_X,ADDR_Y
04229604,仕瑋企業有限公司,114臺北市內湖區瑞光路258巷2號3樓之1,308052,2774220
04240919,新橋實業股份有限公司,114臺北市內湖區瑞光路513巷39號9樓,307528,2774767
04241868,德式馬企業股份有限公司,114臺北市內湖區洲子街65號3樓,307795,2774752
04284107,名成國際貿易股份有限公司,114臺北市內湖區基湖路35巷11號4樓,307037,2774738
04293416,華美航運股份有限公司,114臺北市內湖區舊宗路2段105號1、2樓,308023,2773502
04296384,伊蒂有限公司,114臺北市內湖區洲子街75號9樓,307665,2774771
04313172,光泉牧場股份有限公司,114臺北市內湖區瑞光路502號4樓,307313,2774676
04314833,麟鑫貿易有限公司,114臺北市內湖區瑞光路258巷2號9樓,308052,2774220
04317629,震易股份有限公司,114臺北市內湖區內湖路1段88號2樓,306781,2775132
04329168,海韻電子工業股份有限公司,114臺北市內湖區內湖路1段360巷17號8樓,307570,2774855
04351626,光泉食品股份有限公司,114臺北市內湖區瑞光路502號4樓,307313,2774676
04361119,嘉文企業有限公司,114臺北市內湖區瑞光路358巷32號6樓,307713,2774389
04361357,英偉船務代理有限公司,114臺北市內湖區堤頂大道2段477號8樓之1,306714,2774968
04361912,明山投資股份有限公司,114臺北市內湖區瑞光路358巷30弄3號7樓之1,307765,2774381
04370118,和毅股份有限公司,114臺北市內湖區瑞光路358巷30弄1號11樓,307746,2774394
04373375,台灣華協企業有限公司,114臺北市內湖區基湖路10巷52號2樓,306843,2774995
04377371,麗嬰房股份有限公司,114臺北市內湖區陽光街321巷60號,308220,2773844
04377822,國貿股份有限公司,114臺北市內湖區堤頂大道2段201號3樓,307329,2774513
04386929,凱宏航空貨運承攬股份有限公司,114臺北市內湖區瑞光路618號9樓,307038,2774816
04394723,善仁企業股份有限公司,114臺北市內湖區內湖路1段92號2樓之1,306790,2775127
04399353,立盟海空通運股份有限公司,114臺北市內湖區瑞光路76巷59號5樓,308543,2773673
04401323,恆昶實業股份有限公司,114臺北市內湖區民權東路6段38號,308636,2773389
04406586,源一通運股份有限公司,114臺北市內湖區洲子街70號2樓之1,307695,2774712
04415419,雅安國際企業股份有限公司,114臺北市內湖區瑞光路298號3樓之1、之2,307966,2774362
04424022,環宙航空貨運有限公司,114臺北市內湖區瑞光路258巷55號4樓,307951,2774162
04439600,普合股份有限公司,114臺北市內湖區瑞湖街99號7樓,308124,2774049
04474768,優鐠電子股份有限公司,114臺北市內湖區瑞光路258巷2號10樓,308052,2774220
04483844,上進視聽事業有限公司,114臺北市內湖區瑞光路34號3樓,308754,2773648
04495927,康德克企業有限公司,114臺北市內湖區瑞光路478巷18弄20號4樓,307338,2774584
04497571,歐橋國際股份有限公司,114臺北市內湖區基湖路35巷16號4樓之2,307118,2774677
04503264,春積企業有限公司,114臺北市內湖區堤頂大道2段17號1樓,307691,2774284
04648938,威健實業股份有限公司,114臺北市內湖區內湖路1段308號11樓,307400,2774918
04662001,複成企業股份有限公司,114臺北市內湖區堤頂大道2段475號3樓,306718,2774958
04697347,台灣國際標準電子股份有限公司,114臺北市內湖區堤頂大道2段409號8樓,306822,2774837
04699350,順康貿易有限公司,114臺北市內湖區瑞光路583巷26號5樓,307318,2774830
04704924,英光股份有限公司,114臺北市內湖區內湖路1段388號9樓,307746,2774850
04716983,王記電子股份有限公司,114臺北市內湖區瑞光路478巷18弄30號3樓,307278,2774609
04727341,唯林企業股份有限公司,114臺北市內湖區瑞光路208號7樓,308143,2774226
04744355,海雁企業股份有限公司,114臺北市內湖區港墘路221巷41號5樓之2,308013,2774021
04751171,汎浩股份有限公司,114臺北市內湖區瑞光路192號8樓之2,308222,2774179
04757631,和騰國際有限公司,114臺北市內湖區內湖路1段360巷19號4樓,307567,2774847
04764056,五力機電廠股份有限公司,114臺北市內湖區民權東路6段11巷25號,308293,2773406
04764204,東鋼工業股份有限公司,114臺北市內湖區瑞光路358巷30弄12號7樓,307778,2774333
04777186,晟銘電子科技股份有限公司,114臺北市內湖區民權東路6段27號2、3、4、5、6樓,308840,2773523
04791997,佳商企業股份有限公司,114臺北市內湖區洲子街77號,307674,2774787
04796022,嘉馬電子工業股份有限公司,114臺北市內湖區舊宗路2段97號,308022,2773449
04810777,台時實業有限公司,114臺北市內湖區內湖路1段116號,306695,2775224
04816385,卓利電子股份有限公司,114臺北市內湖區洲子街110號4樓,307472,2774806
04819377,建欣電科技股份有限公司,114臺北市內湖區洲子街103號3樓,307475,2774850
04822871,百略醫學科技股份有限公司,114臺北市內湖區瑞光路431號9樓,307624,2774566
04823132,唯運企業股份有限公司,114臺北市內湖區瑞光路192號10樓,308222,2774179
04834237,維昌精密股份有限公司,114臺北市內湖區陽光街347號5樓之1,308280,2773997
04839140,兆星國際有限公司,114臺北市內湖區瑞光路76巷33號6樓,308610,2773732
04887418,頤坊企業有限公司,114臺北市內湖區洲子街100號4樓,307564,2774764
04887536,長盛國際貿易股份有限公司,114臺北市內湖區陽光街321巷26號3樓之17,308372,2773918
04916130,昌泰科技股份有限公司,114臺北市內湖區瑞光路2號3樓之1,308880,2773572
04927333,三漢企業股份有限公司,114臺北市內湖區內湖路1段322號10樓,307489,2774941
04949174,林克航空貨運代理股份有限公司,114臺北市內湖區瑞光路360號7樓,307742,2774456
04978851,亞記營造工程股份有限公司,114臺北市內湖區內湖路1段388號8樓,307746,2774850
04980505,汎新企業股份有限公司,114臺北市內湖區陽光街321巷18號,308386,2773940
04985311,天工開發股份有限公司,114臺北市內湖區陽光街351號8樓之2,308252,2773991
05055637,上儀股份有限公司,114臺北市內湖區民權東路6段15巷41號5樓,308255,2773551
05064663,河歡興業有限公司,114臺北市內湖區瑞光路316巷58號3樓,307819,2774297
05064811,聯郵企業股份有限公司,114臺北市內湖區洲子街196號4樓,307121,2774920
05072925,中租迪和股份有限公司,114臺北市內湖區瑞光路362號8樓至12樓,307737,2774460
05075021,喬暘電子股份有限公司,114臺北市內湖區瑞光路70號7樓,308690,2773765
05087498,彬台科技股份有限公司,114臺北市內湖區瑞光路208號5樓,308143,2774226
05091373,勝冕實業有限公司,114臺北市內湖區瑞光路300號3樓,307955,2774367
05091991,年代網際事業股份有限公司,114臺北市內湖區瑞湖街39號2樓,308104,2774146
05109134,台灣前電電業股份有限公司,114臺北市內湖區瑞光路588號8樓,307102,2774785
05114306,擎邦國際科技工程股份有限公司,114臺北市內湖區瑞光路210號5樓,308139,2774231
05144553,華杏出版股份有限公司,114臺北市內湖區洲子街72號5樓,307706,2774682
05155853,研華股份有限公司,114臺北市內湖區瑞光路26巷20弄1號,308772,2773585
05160173,匯聯實業有限公司,114臺北市內湖區瑞湖街103號5樓之5,308133,2773950
05186286,研湧科技有限公司,114臺北市內湖區瑞光路168號9樓,308375,2774089
05414107,儀軍電線電纜股份有限公司,114臺北市內湖區洲子街52號6樓,307816,2774662
05425239,同心工程事業股份有限公司,114臺北市內湖區洲子街79之1號5樓之1,307656,2774793
05705007,慈備企業有限公司,114臺北市內湖區陽光街321巷60號2樓,308220,2773844
05716308,歐鼎企業有限公司,114臺北市內湖區基湖路35巷13號2樓,307054,2774731
05721246,三揚企業有限公司,114臺北市內湖區瑞光路513巷26號3樓之1,307474,2774728
05962716,潗豐營造有限公司,114臺北市內湖區瑞光路408號6樓,307552,2774550
07015324,世潮企業股份有限公司,114臺北市內湖區瑞光路607號8樓,307180,2774779
07044329,六山股份有限公司,114臺北市內湖區洲子街106號6樓,307492,2774797
07092216,立志企業有限公司,114臺北市內湖區瑞光路513巷36號9樓,307496,2774785
07127931,台灣菊水膠帶股份有限公司,114臺北市內湖區瑞光路408號6樓之1,307552,2774550
07220710,宏洲纖維工業股份有限公司,114臺北市內湖區瑞光路607號7樓,307180,2774779
07228810,東盈實業股份有限公司,114臺北市內湖區洲子街73號6樓之1,307678,2774744
07328402,安源資訊股份有限公司,114臺北市內湖區洲子街81號9樓,307595,2774793
07487111,新燕實業股份有限公司,114臺北市內湖區內湖路1段512號3樓,307887,2774804
07510605,榮泰紡織股份有限公司,114臺北市內湖區瑞光路188巷48號6樓,308178,2774066
07642063,陸昌化工股份有限公司,114臺北市內湖區基湖路35巷22號8樓,307163,2774659
07657987,谷暉企業有限公司,114臺北市內湖區瑞光路358巷38弄36號8樓,307796,2774312
07659198,保昇機電工程股份有限公司,114臺北市內湖區瑞光路358巷30弄15號5樓,307815,2774343
07669338,宜進實業股份有限公司,114臺北市內湖區瑞光路607號7樓,307180,2774779
07712686,岱岱有限公司,114臺北市內湖區堤頂大道2段281號,307075,2774593
07729080,台原藥股份有限公司,114臺北市內湖區港墘路221巷35號5樓之1,307978,2774075
09412284,全球商業網股份有限公司,114臺北市內湖區堤頂大道2段501號6樓,306659,2775091
09416129,六合安全工程有限公司,114臺北市內湖區瑞光路76巷41號3樓,308607,2773687
09422109,六輝貿易股份有限公司,114臺北市內湖區洲子街62號7樓,307753,2774685
09426702,漢岱實業股份有限公司,114臺北市內湖區瑞光路618號5樓,307038,2774816
09431108,三儷有限公司,114臺北市內湖區內湖路1段360巷10號5樓之1,307525,2774828
09433719,好格實業股份有限公司,114臺北市內湖區陽光街345巷5號4樓,308326,2773924
09443126,台灣快捷國際股份有限公司,114臺北市內湖區堤頂大道2段293號6樓之1,307030,2774610
09454523,尚基企業有限公司,114臺北市內湖區瑞光路605號5樓,307191,2774773
09458767,遠東精密化學股份有限公司,114臺北市內湖區瑞光路258巷55號5樓之1,307951,2774162
09459870,辰留企業股份有限公司,114臺北市內湖區瑞光路513巷22弄5號7樓,307408,2774751
09461545,開成興業股份有限公司,114臺北市內湖區內湖路1段120巷18號7樓,306748,2775043
09462832,萊麗美容專業有限公司,114臺北市內湖區瑞光路513巷22弄5號7樓之1,307408,2774751
09469321,超固企業有限公司,114臺北市內湖區港墘路221巷19號6樓,307923,2774151
09473845,尚立股份有限公司,114臺北市內湖區洲子街76號6樓,307671,2774669
09479382,寶楠生技股份有限公司,114臺北市內湖區瑞光路258巷50號3樓,307996,2774170
09486813,美佳娜興業有限公司,114臺北市內湖區瑞光路188巷48號2樓,308178,2774066
09487881,航豪企業有限公司,114臺北市內湖區瑞光路513巷33號3樓,307518,2774745
09490128,技高工業股份有限公司,114臺北市內湖區內湖路1段516號7樓,307899,2774799
11049705,山記實業股份有限公司,114臺北市內湖區瑞光路66巷30號1、2樓,308653,2773670
11084483,元利儀器股份有限公司,114臺北市內湖區陽光街365巷39號6樓,308246,2773847
11088586,元佑實業股份有限公司,114臺北市內湖區陽光街365巷37號5樓,308243,2773865
11092152,天行空運代理股份有限公司,114臺北市內湖區瑞光路188巷45號8樓,308162,2774099
11101997,世全股份有限公司,114臺北市內湖區陽光街351號4樓之3,308252,2773991
11239297,全達運通股份有限公司,114臺北市內湖區陽光街345巷10號4樓,308301,2773918
11240506,安平旅行社股份有限公司,114臺北市內湖區洲子街70號2樓之1,307695,2774712
11252349,汎達股份有限公司,114臺北市內湖區陽光街351號3樓,308252,2773991
11285278,利峰投資股份有限公司,114臺北市內湖區瑞光路70號3樓,308690,2773765
11330555,格威傳媒股份有限公司,114臺北市內湖區陽光街321巷56號5樓,308299,2773836
11411509,昌隆貿易股份有限公司,114臺北市內湖區基湖路37號12樓,306983,2774709
11459242,信孚產業股份有限公司,114臺北市內湖區瑞光路408號7樓,307552,2774550
11473504,信宏貿易股份有限公司,114臺北市內湖區港墘路208號7樓,307917,2774273
11521604,恆隆行投資股份有限公司,114臺北市內湖區洲子街88號7樓之1,307626,2774702
11594943,國華琺瑯製衣機械工業股份有限公司,114臺北市內湖區基湖路3巷45號7、8樓,307177,2774857
11595387,通全印刷有限公司,114臺北市內湖區瑞湖街161號1樓,308169,2773516
11656139,富祺實業股份有限公司,114臺北市內湖區洲子街60號6樓,307766,2774680
11686106,華夏海灣塑膠股份有限公司,114臺北市內湖區基湖路37號12樓,306983,2774709
11694204,華都霓虹廠有限公司,114臺北市內湖區瑞光路583巷31號4樓,307294,2774850
11710106,惠台實業股份有限公司,114臺北市內湖區瑞光路212號9樓,308134,2774236
11759803,萬昌電器有限公司,114臺北市內湖區瑞光路513巷31號,307516,2774738
11819318,台灣電腦服務股份有限公司,114臺北市內湖區瑞光路318號7樓,307869,2774399
11857207,嘉益螺絲股份有限公司,114臺北市內湖區陽光街355號,308238,2773988
11893409,台達化學工業股份有限公司,114臺北市內湖區基湖路37號12樓,306983,2774709
11910408,臺灣慎昌行股份有限公司,114臺北市內湖區堤頂大道2段413號3樓,306786,2774830
11984908,聯成棉業有限公司,114臺北市內湖區基湖路3巷68號,307200,2774825
11985603,聯成實業股份有限公司,114臺北市內湖區陽光街381號6樓,308156,2773961
11994005,鴻祥工程股份有限公司,114臺北市內湖區瑞光路212號5樓,308134,2774236
12016702,豐潤有限公司,114臺北市內湖區瑞湖街178巷17號,308077,2773750
12105943,天霖企業股份有限公司,114臺北市內湖區基湖路10巷50號5樓,306838,2774985
12111831,龍翰興業股份有限公司,114臺北市內湖區民權東路6段18號2樓,308287,2773240
12119904,金殷有限公司,114臺北市內湖區民權東路6段15巷16號5樓之1,308399,2773451
12130540,民舜企業股份有限公司,114臺北市內湖區瑞光路168號6樓,308375,2774089
12132414,是佳運動器材股份有限公司,114臺北市內湖區民權東路6段18之3號5樓,308314,2773248
12141223,施懷哲股份有限公司,114臺北市內湖區內湖路1段120巷16號4樓,306758,2775052
12161450,宏毅國際有限公司,114臺北市內湖區堤頂大道2段15號8樓之2,307699,2774272
12176550,東源實業股份有限公司,114臺北市內湖區內湖路1段388號6樓,307746,2774850
12183834,統一數位翻譯股份有限公司,114臺北市內湖區民權東路6段23號6樓之2,308792,2773500
12198359,中華票券金融股份有限公司,114臺北市內湖區堤頂大道2段99號4樓,307628,2774387
12204275,亞翔工程股份有限公司,114臺北市內湖區內湖路1段120巷17號5樓,306740,2774997
12209383,楷盈實業股份有限公司,114臺北市內湖區瑞光路478巷22號3樓,307390,2774552
12210699,嘉瀅企業有限公司,114臺北市內湖區基湖路35巷49號4樓之1,307146,2774694
12217150,元寶實業股份有限公司,114臺北市內湖區瑞湖街182號,308144,2773599
12220789,淦杰企業有限公司,114臺北市內湖區洲子街75號6樓之1,307665,2774771
12254056,聯逢股份有限公司,114臺北市內湖區內湖路1段360巷15號7樓之1,307574,2774863
12272603,祐僑股份有限公司,114臺北市內湖區內湖路1段392號11樓,307791,2774833
12272934,名格文化印刷設計事業有限公司,114臺北市內湖區瑞光路76巷45號2樓,308584,2773712
12273716,基準科技有限公司,114臺北市內湖區基湖路10巷52號1樓,306843,2774995
12284642,興社工業股份有限公司,114臺北市內湖區瑞光路8之1號,308849,2773605
12285902,飛裕股份有限公司,114臺北市內湖區瑞光路618號9樓之1,307038,2774816
12291708,安傳電子股份有限公司,114臺北市內湖區舊宗路2段171巷17號5樓,308076,2773802
12292039,大江生醫股份有限公司,114臺北市內湖區港墘路187號8樓,307991,2774304
12294037,伍將企業有限公司,114臺北市內湖區瑞光路76巷49號,308566,2773699
12304443,和椿科技股份有限公司,114臺北市內湖區洲子街60號2樓,307766,2774680
12311535,昌晟企業股份有限公司,114臺北市內湖區內湖路1段388號7樓,307746,2774850
12316911,民暘股份有限公司,114臺北市內湖區瑞光路168號6樓,308375,2774089
12319369,仕瀛實業有限公司,114臺北市內湖區瑞光路258巷2號3樓之1,308052,2774220
12322836,瑞坤股份有限公司,114臺北市內湖區陽光街345巷14號6樓,308304,2773905
12323906,培基數碼股份有限公司,114臺北市內湖區瑞光路583巷21號5樓之5,307280,2774824
12332601,傳倫投資股份有限公司,114臺北市內湖區瑞光路206號5樓,308148,2774221
12342404,裕華企業管理顧問有限公司,114臺北市內湖區民權東路6段16之2號2樓,308265,2773234
12351819,宇力工程有限公司,114臺北市內湖區瑞湖街178巷17號5樓,308077,2773750
12360269,宇聲製衣股份有限公司,114臺北市內湖區基湖路35巷16號2樓,307118,2774677
12365840,安德美運通股份有限公司,114臺北市內湖區瑞光路66巷23號3樓,308678,2773661
12369971,全國公證檢驗股份有限公司,114臺北市內湖區瑞光路417號5樓及6樓419號8樓之1、9樓之1、10樓之1、11樓之1、12樓之1、13樓之1、419號至423號之5樓、6樓、8樓、9樓、10樓、11樓、12樓、13樓,307643,2774601
12379210,日晟股份有限公司,114臺北市內湖區港墘路187號3樓,307991,2774304
12388007,宗洋企業有限公司,114臺北市內湖區瑞光路188巷50號3樓,308188,2774048
12394578,富鉑實業股份有限公司,114臺北市內湖區瑞光路360號6樓之1,307742,2774456
12402129,幸瑋企業有限公司,114臺北市內湖區瑞光路76巷35號2樓,308601,2773725
12402789,祥皓有限公司,114臺北市內湖區港墘路221巷35號3樓之1,307978,2774075
12403534,康和資訊系統股份有限公司,114臺北市內湖區瑞光路318號5樓,307869,2774399
12410774,怡昌投資股份有限公司,114臺北市內湖區瑞光路358巷30弄3號7樓之1,307765,2774381
12413104,勝昱科技股份有限公司,114臺北市內湖區港墘路221巷33號8樓,307973,2774082
12419058,頌泰股份有限公司,114臺北市內湖區內湖路1段360巷8號3樓,307532,2774842
12427304,立威資訊股份有限公司,114臺北市內湖區瑞光路513巷32號9樓,307489,2774768
12439792,德資股份有限公司,114臺北市內湖區瑞光路550號5樓,307209,2774726
12442749,匯揚百貨事業有限公司,114臺北市內湖區陽光街383號7樓,308143,2773959
12450374,宗鑫貿易有限公司,114臺北市內湖區堤頂大道2段295號3樓,307021,2774612
12452154,安惠實業股份有限公司,114臺北市內湖區洲子街81號6樓,307595,2774793
12456594,梅嶺貿易股份有限公司,114臺北市內湖區瑞光路439號6樓,307611,2774629
12459115,河洛半導體股份有限公司,114臺北市內湖區瑞光路76巷20、22號4樓,308582,2773811
12479610,捷迅股份有限公司,114臺北市內湖區瑞光路34號4樓,308754,2773648
12481828,伊芙巴黎左岸股份有限公司,114臺北市內湖區洲子街75號11、12樓,307665,2774771
12490087,義昇電氣有限公司,114臺北市內湖區瑞光路258巷54號,307968,2774143
12491282,運達股份有限公司,114臺北市內湖區瑞光路26巷20弄25號1樓,308718,2773637
12498118,昆愛企業有限公司,114臺北市內湖區內湖路1段320號3樓,307474,2774946
12501943,利碩貿易股份有限公司,114臺北市內湖區陽光街321巷8號6樓,308373,2773979
12515159,邁克威股份有限公司,114臺北市內湖區瑞光路316巷56號8樓,307825,2774302
12515600,俊欣行股份有限公司,114臺北市內湖區民權東路6段18之1號、18之2號、18之3號1樓,308296,2773243
12522692,池袋股份有限公司,114臺北市內湖區洲子街194號2樓、2樓之1、196號1、2樓,307146,2774917
12526542,茉爾企業有限公司,114臺北市內湖區洲子街69號4樓,307773,2774713
12526819,昇紡有限公司,114臺北市內湖區瑞光路76巷67號3樓,308517,2773654
12527845,建宏層析企業股份有限公司,114臺北市內湖區港墘路221巷19號5樓,307923,2774151
12538202,泉鋼企業有限公司,114臺北市內湖區瑞光路513巷39號5樓,307528,2774767
12538619,欣邑室內裝修工程股份有限公司,114臺北市內湖區洲子街76號8樓,307671,2774669
12540262,怡先國際股份有限公司,114臺北市內湖區行忠路57號2樓,308259,2773164
12545870,榮復國際有限公司,114臺北市內湖區瑞光路478巷18弄20號2樓,307338,2774584
12547173,弘帆股份有限公司,114臺北市內湖區內湖路1段360巷17號5樓,307570,2774855
12553890,瑞格有限公司,114臺北市內湖區陽光街345巷16號4樓,308306,2773898
12559677,瓊安開發股份有限公司,114臺北市內湖區洲子街72、74、76號7樓,307706,2774682
12605460,品樺國際股份有限公司,114臺北市內湖區內湖路1段388號8樓之3,307746,2774850
12616121,敦新科技股份有限公司,114臺北市內湖區內湖路1段516號8樓,307899,2774799
12616585,源流投資股份有限公司,114臺北市內湖區港墘路183號9樓,308001,2774318
12616797,億中投資股份有限公司,114臺北市內湖區港墘路183號9樓,308001,2774318
12617748,遠達事業有限公司,114臺北市內湖區內湖路1段250號12樓,307169,2774976
12636528,藝動網科技股份有限公司,114臺北市內湖區瑞光路258巷56號6樓,307960,2774135
12647004,弘諺科技股份有限公司,114臺北市內湖區瑞光路408號3樓之1,307552,2774550
12649299,全冠國際股份有限公司,114臺北市內湖區陽光街321巷56號4樓之6,308299,2773836
12650035,紐澳德數位科技股份有限公司,114臺北市內湖區基湖路35巷11號9樓,307037,2774738
12650400,司馬特科技股份有限公司,114臺北市內湖區陽光街345巷10號5樓,308301,2773918
12651148,亞克米科技股份有限公司,114臺北市內湖區瑞湖街58號12樓,308055,2774123
12653053,睿聯生醫有限公司,114臺北市內湖區港墘路187號9樓,307991,2774304
12653722,御享生技股份有限公司,114臺北市內湖區瑞光路188巷52號4樓,308180,2774046
12654341,光柵科技有限公司,114臺北市內湖區洲子街76號4樓,307671,2774669
12654686,千金投資股份有限公司,114臺北市內湖區瑞光路513巷26號4樓之1,307474,2774728
12657023,遠達全球通訊股份有限公司,114臺北市內湖區瑞光路188巷52號5樓,308180,2774046
12659654,都市生活廣告有限公司,114臺北市內湖區瑞光路266號8樓,308067,2774287
12660771,啟隆投資有限公司,114臺北市內湖區瑞光路26巷20弄25號4樓,308718,2773637
12662573,納米材料有限公司,114臺北市內湖區瑞光路76巷67號4樓,308517,2773654
12663904,裕尚有限公司,114臺北市內湖區瑞光路358巷30弄2號6樓,307724,2774381
12664241,宗堡股份有限公司,114臺北市內湖區瑞光路478巷18弄30號2樓,307278,2774609
12665071,韶瑞開發股份有限公司,114臺北市內湖區基湖路35巷49號6樓之1,307146,2774694
12665305,財宏科技股份有限公司,114臺北市內湖區瑞光路208號2樓,308143,2774226
12666487,華騰國際科技股份有限公司,114臺北市內湖區堤頂大道2段185號10樓,307451,2774488
12667459,捷記有限公司,114臺北市內湖區堤頂大道2段477號8樓之1,306714,2774968
12667599,承遠科技股份有限公司,114臺北市內湖區瑞光路66巷27號3樓,308686,2773644
12667866,荃銘科技股份有限公司,114臺北市內湖區瑞光路443號7樓,307596,2774636
12668393,友詮國際股份有限公司,114臺北市內湖區瑞湖街178巷25號3樓,308051,2773755
12669816,艾慕思生物科技股份有限公司,114臺北市內湖區洲子街46號6樓,307824,2774630
12670258,集智達科技股份有限公司,114臺北市內湖區民權東路6段11巷43之1號4樓,308208,2773414
12670969,懷康科技股份有限公司,114臺北市內湖區內湖路1段388號5樓之1,307746,2774850
12672116,八樂企業股份有限公司,114臺北市內湖區瑞湖街199號5樓,308177,2773401
12677956,承科實業有限公司,114臺北市內湖區民權東路6段15巷16號3樓之2,308399,2773451
12678694,世駿電子股份有限公司,114臺北市內湖區瑞光路586號6樓,307110,2774781
12680734,心安公寓大廈管理維護有限公司,114臺北市內湖區瑞光路66巷23號5樓,308678,2773661
12681706,禾伸堂生技股份有限公司,114臺北市內湖區內湖路1段88號4樓,306781,2775132
12682108,亮發科技股份有限公司,114臺北市內湖區瑞光路639號2樓,307113,2774815
12682542,友德國際股份有限公司,114臺北市內湖區瑞湖街103號6樓,308133,2773950
12683535,光寶匯才資訊服務股份有限公司,114臺北市內湖區瑞光路392號8樓,307627,2774517
12684865,宗信燦股份有限公司,114臺北市內湖區基湖路35巷13號3樓,307054,2774731
12685267,元邦建設開發股份有限公司,114臺北市內湖區內湖路1段396號12樓,307823,2774820
12688428,大紀元時報股份有限公司,114臺北市內湖區瑞湖街36號2樓,308076,2774151
12688779,運立國際有限公司,114臺北市內湖區基湖路35巷16號4樓,307118,2774677
12690374,木鄉國際投資股份有限公司,114臺北市內湖區洲子街83號6樓,307578,2774800
12690521,台灣東芝國際採購股份有限公司,114臺北市內湖區瑞光路583巷26號7樓之1,307318,2774830
12691845,獵傑管理顧問有限公司,114臺北市內湖區瑞光路441號6樓,307604,2774633
12694701,台聚管理顧問股份有限公司,114臺北市內湖區基湖路37號12樓,306983,2774709
12696594,寶盛開發股份有限公司,114臺北市內湖區瑞光路26巷36弄8號4樓,308669,2773586
12697051,寰亞行銷服務股份有限公司,114臺北市內湖區洲子街100號10樓,307564,2774764
12698116,福又達生物科技股份有限公司,114臺北市內湖區內湖路1段120巷16號4樓,306758,2775052
12706853,鴻洋投資股份有限公司,114臺北市內湖區基湖路35巷49號6樓之1,307146,2774694
12745949,欣潔坊股份有限公司,114臺北市內湖區瑞光路550號8樓,307209,2774726
12753335,捷達威數位科技股份有限公司,114臺北市內湖區瑞湖街111號,308154,2773859
12754003,新鎧科技股份有限公司,114臺北市內湖區舊宗路2段181巷16號2樓,308018,2773827
12763299,進盈投資股份有限公司,114臺北市內湖區洲子街48號3樓,307833,2774655
12772311,上瀚科技股份有限公司,114臺北市內湖區洲子街196號9樓,307121,2774920
12776816,鴻興國際興業有限公司,114臺北市內湖區瑞光路76巷41號1樓,308607,2773687
12791154,森積科技有限公司,114臺北市內湖區陽光街347號4樓之1,308280,2773997
12795074,冠雅國際有限公司,114臺北市內湖區瑞光路607號4樓,307180,2774779
12832606,上金投資股份有限公司,114臺北市內湖區瑞光路513巷26號4樓之1,307474,2774728
